msecElapsed,P,I,D,Control,Process,Setpoint
234,0.5,0,0,12,36,0
287,0.5,0,0,12,36,0
340,0.5,0,0,12,35.8832,0
393,0.5,0,0,12,35.2805,0
446,0.5,0,0,12,33.8808,0
499,0.5,0,0,12,33.1261,0
552,0.5,0,0,12,31.2588,0
605,0.5,0,0,12,29.0706,0
658,0.5,0,0,12,26.6241,0
711,0.5,0,0,12,25.1267,0
764,0.5,0,0,11.0974,22.1948,0
820,0.5,0,0,9.47383,18.9477,0
873,0.5,0,0,7.8963,15.7926,0
926,0.5,0,0,6.25065,12.5013,0
979,0.5,0,0,5.7775,11.555,0
1037,0.5,0,0,4.44402,8.88805,0
1090,0.5,0,0,3.66747,7.33494,0
1144,0.5,0,0,-3.71077,-7.42154,0
1198,0.5,0,0,-4.29818,-8.59635,0
1252,0.5,0,0,-4.47132,-8.94265,0
1306,0.5,0,0,-5.08647,-10.1729,0
1360,0.5,0,0,-5.17472,-10.3494,0
1414,0.5,0,0,-4.95268,-9.90537,0
1468,0.5,0,0,-4.66031,-9.32061,0
1522,0.5,0,0,-4.57677,-9.15354,0
1576,0.5,0,0,-4.22361,-8.44721,0
1630,0.5,0,0,-3.90373,-7.80746,0
1684,0.5,0,0,-3.64689,-7.29378,0
1742,0.5,0,0,-3.52813,-7.05625,0
1799,0.5,0,0,3.56587,7.13174,0
1853,0.5,0,0,3.52552,7.05104,0
1907,0.5,0,0,3.73972,7.47945,0
1961,0.5,0,0,3.80007,7.60015,0
2015,0.5,0,0,3.80014,7.60028,0
2069,0.5,0,0,3.65042,7.30084,0
2123,0.5,0,0,3.50061,7.00121,0
2177,0.5,0,0,3.43277,6.86555,0
2231,0.5,0,0,3.27822,6.55644,0
2285,0.5,0,0,3.22315,6.44629,0
2339,0.5,0,0,-3.09673,-6.19346,0
2393,0.5,0,0,-3.11591,-6.23181,0
2447,0.5,0,0,-3.21281,-6.42561,0
2505,0.5,0,0,-3.27477,-6.54953,0
2559,0.5,0,0,-3.22659,-6.45317,0
2613,0.5,0,0,-3.12595,-6.2519,0
2667,0.5,0,0,-3.08475,-6.16949,0
2721,0.5,0,0,3.15378,6.30755,0
2775,0.5,0,0,3.1868,6.37361,0
2832,0.5,0,0,3.21062,6.42124,0
2886,0.5,0,0,3.20252,6.40503,0
2940,0.5,0,0,3.15374,6.30749,0
2994,0.5,0,0,3.12676,6.25352,0
3048,0.5,0,0,3.05546,6.11091,0
3102,0.5,0,0,3.06662,6.13324,0
3156,0.5,0,0,-3.12272,-6.24544,0
3210,0.5,0,0,-3.3247,-6.6494,0
3268,0.5,0,0,-3.33999,-6.67998,0
3321,0.5,0,0,-3.3653,-6.73061,0
3375,0.5,0,0,-3.35098,-6.70195,0
3429,0.5,0,0,-3.19801,-6.39603,0
3483,0.5,0,0,-3.18828,-6.37656,0
3537,0.5,0,0,-3.07316,-6.14632,0
3591,0.5,0,0,3.06383,6.12766,0
3645,0.5,0,0,3.21671,6.43343,0
3699,0.5,0,0,3.22499,6.44999,0
3753,0.5,0,0,3.21831,6.43661,0
3807,0.5,0,0,3.2353,6.4706,0
3864,0.5,0,0,3.19141,6.38282,0
3918,0.5,0,0,3.1636,6.3272,0
3976,0.5,0,0,3.15485,6.3097,0
4029,0.5,0,0,-3.22722,-6.45444,0
4083,0.5,0,0,-3.17511,-6.35022,0
4137,0.5,0,0,-3.33394,-6.66789,0
4191,0.5,0,0,-3.36742,-6.73483,0
4245,0.5,0,0,-3.35816,-6.71632,0
4299,0.5,0,0,-3.28214,-6.56428,0
4353,0.5,0,0,-3.20856,-6.41711,0
4407,0.5,0,0,-3.16471,-6.32941,0
4461,0.5,0,0,3.17383,6.34766,0
4515,0.5,0,0,3.23956,6.47913,0
4569,0.5,0,0,3.24001,6.48002,0
4623,0.5,0,0,3.23389,6.46778,0
4677,0.5,0,0,3.24882,6.49765,0
4735,0.5,0,0,3.18764,6.37528,0
4789,0.5,0,0,3.08338,6.16676,0
4846,0.5,0,0,3.05107,6.10214,0
4900,0.5,0,0,-3.0686,-6.13719,0
4954,0.5,0,0,-3.12367,-6.24734,0
5008,0.5,0,0,-3.25505,-6.51011,0
5062,0.5,0,0,-3.27432,-6.54864,0
5116,0.5,0,0,-3.22716,-6.45432,0
5170,0.5,0,0,-3.18304,-6.36609,0
5224,0.5,0,0,-3.07201,-6.14401,0
5278,0.5,0,0,3.02887,6.05774,0
5332,0.5,0,0,3.05938,6.11875,0
5386,0.5,0,0,3.15683,6.31367,0
5444,0.5,0,0,3.17406,6.34812,0
5497,0.5,0,0,3.17198,6.34396,0
5551,0.5,0,0,3.11221,6.22442,0
5605,0.5,0,0,3.0672,6.1344,0
5659,0.5,0,0,-3.08703,-6.17405,0
5713,0.5,0,0,-3.16526,-6.33051,0
5767,0.5,0,0,-3.22147,-6.44295,0
5821,0.5,0,0,-3.2208,-6.44159,0
5878,0.5,0,0,-3.21567,-6.43134,0
5932,0.5,0,0,-3.09157,-6.18314,0
5986,0.5,0,0,3.05959,6.11918,0
6040,0.5,0,0,3.14898,6.29795,0
6094,0.5,0,0,3.13548,6.27096,0
6148,0.5,0,0,3.1523,6.30461,0
6206,0.5,0,0,3.15355,6.3071,0
6259,0.5,0,0,3.12125,6.24251,0
6313,0.5,0,0,3.1082,6.2164,0
6367,0.5,0,0,-3.13685,-6.27371,0
6421,0.5,0,0,-3.21656,-6.43311,0
6475,0.5,0,0,-3.31883,-6.63766,0
6529,0.5,0,0,-3.32179,-6.64358,0
6583,0.5,0,0,-3.27634,-6.55269,0
6637,0.5,0,0,-3.20055,-6.40109,0
6691,0.5,0,0,-3.09673,-6.19345,0
6745,0.5,0,0,3.06585,6.1317,0
6799,0.5,0,0,3.11166,6.22332,0
6853,0.5,0,0,3.22465,6.4493,0
6914,0.5,0,0,3.21702,6.43405,0
6967,0.5,0,0,3.18175,6.36351,0
7021,0.5,0,0,3.12925,6.25851,0
7075,0.5,0,0,3.09636,6.19271,0
7129,0.5,0,0,-3.12394,-6.24789,0
7183,0.5,0,0,-3.18564,-6.37127,0
7237,0.5,0,0,-3.26862,-6.53723,0
7291,0.5,0,0,-3.27691,-6.55382,0
7345,0.5,0,0,-3.26424,-6.52848,0
7399,0.5,0,0,-3.16686,-6.33371,0
7453,0.5,0,0,-3.10503,-6.21007,0
7507,0.5,0,0,3.10007,6.20015,0
7561,0.5,0,0,3.2684,6.53679,0
7615,0.5,0,0,3.26901,6.53802,0
7673,0.5,0,0,3.26192,6.52384,0
7727,0.5,0,0,3.26684,6.53367,0
7781,0.5,0,0,3.20467,6.40934,0
7835,0.5,0,0,3.1473,6.2946,0
7892,0.5,0,0,3.11878,6.23755,0
7946,0.5,0,0,-3.15665,-6.3133,0
8000,0.5,0,0,-3.25367,-6.50734,0
8054,0.5,0,0,-3.38457,-6.76915,0
8108,0.5,0,0,-3.38598,-6.77197,0
8162,0.5,0,0,-3.34141,-6.68283,0
8216,0.5,0,0,-3.24625,-6.4925,0
8270,0.5,0,0,-3.13371,-6.26741,0
8324,0.5,0,0,3.09683,6.19367,0
8382,0.5,0,0,3.22815,6.4563,0
8435,0.5,0,0,3.26205,6.52409,0
8489,0.5,0,0,3.25475,6.50949,0
8543,0.5,0,0,3.26428,6.52856,0
8597,0.5,0,0,3.236,6.472,0
8651,0.5,0,0,3.2227,6.44539,0
8705,0.5,0,0,-3.15943,-6.31885,0
8759,0.5,0,0,-3.1968,-6.3936,0
8813,0.5,0,0,-3.30575,-6.61149,0
8867,0.5,0,0,-3.31257,-6.62513,0
8924,0.5,0,0,-3.27164,-6.54329,0
8978,0.5,0,0,-3.22196,-6.44393,0
9032,0.5,0,0,-3.21327,-6.42654,0
9086,0.5,0,0,3.2176,6.43519,0
9144,0.5,0,0,3.20596,6.41193,0
9197,0.5,0,0,3.33889,6.67777,0
9251,0.5,0,0,3.33525,6.67051,0
9305,0.5,0,0,3.33358,6.66716,0
9359,0.5,0,0,3.26615,6.53231,0
9413,0.5,0,0,3.18587,6.37173,0
9467,0.5,0,0,3.13309,6.26619,0
9521,0.5,0,0,-3.15636,-6.31272,0
9575,0.5,0,0,-3.21394,-6.42788,0
9629,0.5,0,0,-3.27526,-6.55051,0
9683,0.5,0,0,-3.30776,-6.61551,0
9737,0.5,0,0,-3.29023,-6.58047,0
9791,0.5,0,0,-3.19182,-6.38364,0
9845,0.5,0,0,-3.182,-6.364,0
9906,0.5,0,0,3.13919,6.27838,0
9959,0.5,0,0,3.19534,6.39068,0
10013,0.5,0,0,3.27608,6.55215,0
10067,0.5,0,0,3.27389,6.54777,0
10121,0.5,0,0,3.27095,6.5419,0
10175,0.5,0,0,3.22375,6.4475,0
10229,0.5,0,0,3.16785,6.33569,0
10283,0.5,0,0,3.11035,6.22071,0
10337,0.5,0,0,-3.156,-6.31201,0
10391,0.5,0,0,-3.23439,-6.46878,0
10445,0.5,0,0,-3.32882,-6.65764,0
10499,0.5,0,0,-3.33301,-6.66601,0
10553,0.5,0,0,-3.2972,-6.5944,0
10611,0.5,0,0,-3.19536,-6.39073,0
10665,0.5,0,0,-3.17763,-6.35526,0
10719,0.5,0,0,3.16817,6.33635,0
10773,0.5,0,0,3.19348,6.38697,0
10827,0.5,0,0,3.26903,6.53806,0
10881,0.5,0,0,3.26459,6.52917,0
10938,0.5,0,0,3.27092,6.54184,0
10992,0.5,0,0,3.22309,6.44619,0
11046,0.5,0,0,3.16194,6.32389,0
11100,0.5,0,0,3.11155,6.2231,0
11154,0.5,0,0,-3.15065,-6.3013,0
11208,0.5,0,0,-3.25789,-6.51577,0
11262,0.5,0,0,-3.29051,-6.58101,0
11320,0.5,0,0,-3.33716,-6.67432,0
11373,0.5,0,0,-3.30265,-6.6053,0
11427,0.5,0,0,-3.22654,-6.45307,0
11481,0.5,0,0,-3.14801,-6.29602,0
11535,0.5,0,0,3.13366,6.26732,0
11589,0.5,0,0,3.17183,6.34365,0
11643,0.5,0,0,3.22962,6.45923,0
11697,0.5,0,0,3.24158,6.48315,0
11751,0.5,0,0,3.21652,6.43305,0
11805,0.5,0,0,3.17351,6.34703,0
11859,0.5,0,0,3.12719,6.25438,0
11913,0.5,0,0,-3.14637,-6.29274,0
11970,0.5,0,0,-3.16369,-6.32738,0
12024,0.5,0,0,-3.2735,-6.54701,0
12082,0.5,0,0,-3.27031,-6.54063,0
12135,0.5,0,0,-3.2658,-6.53159,0
12189,0.5,0,0,-3.17473,-6.34947,0
12243,0.5,0,0,-3.14388,-6.28776,0
12297,0.5,0,0,3.17534,6.35068,0
12351,0.5,0,0,3.21242,6.42485,0
12405,0.5,0,0,3.24856,6.49713,0
12459,0.5,0,0,3.25984,6.51968,0
12513,0.5,0,0,3.24304,6.48608,0
12567,0.5,0,0,3.18289,6.36579,0
12621,0.5,0,0,3.12309,6.24618,0
12675,0.5,0,0,3.11201,6.22402,0
12729,0.5,0,0,-3.1413,-6.28261,0
12787,0.5,0,0,-3.22969,-6.45938,0
12841,0.5,0,0,-3.35493,-6.70985,0
12895,0.5,0,0,-3.34736,-6.69472,0
12952,0.5,0,0,-3.28926,-6.57851,0
13006,0.5,0,0,-3.24188,-6.48375,0
13060,0.5,0,0,-3.1384,-6.2768,0
13114,0.5,0,0,3.12076,6.24153,0
13168,0.5,0,0,3.15736,6.31471,0
13222,0.5,0,0,3.20752,6.41503,0
13276,0.5,0,0,3.19456,6.38912,0
13330,0.5,0,0,3.19472,6.38944,0
13384,0.5,0,0,3.17141,6.34283,0
13438,0.5,0,0,3.05986,6.11972,0
13496,0.5,0,0,3.05764,6.11527,0
13549,0.5,0,0,-3.14201,-6.28403,0
13603,0.5,0,0,-3.22753,-6.45507,0
13657,0.5,0,0,-3.32208,-6.64416,0
13711,0.5,0,0,-3.33197,-6.66394,0
13765,0.5,0,0,-3.26856,-6.53712,0
13819,0.5,0,0,-3.23156,-6.46311,0
13873,0.5,0,0,-3.14316,-6.28632,0
13927,0.5,0,0,3.15058,6.30117,0
13984,0.5,0,0,3.19159,6.38318,0
14038,0.5,0,0,3.24687,6.49373,0
14092,0.5,0,0,3.26013,6.52026,0
14146,0.5,0,0,3.2405,6.481,0
14204,0.5,0,0,3.21516,6.43031,0
14257,0.5,0,0,3.16092,6.32184,0
14311,0.5,0,0,3.15698,6.31396,0
14365,0.5,0,0,-3.1621,-6.32421,0
14419,0.5,0,0,-3.23859,-6.47718,0
14473,0.5,0,0,-3.37424,-6.74848,0
14527,0.5,0,0,-3.36843,-6.73685,0
14581,0.5,0,0,-3.32003,-6.64006,0
14635,0.5,0,0,-3.2782,-6.5564,0
14689,0.5,0,0,-3.18989,-6.37978,0
14743,0.5,0,0,-3.24351,-6.48703,0
14797,0.5,0,0,3.27454,6.54909,0
14851,0.5,0,0,3.35616,6.71231,0
14909,0.5,0,0,3.30701,6.61403,0
14966,0.5,0,0,3.34163,6.68327,0
15020,0.5,0,0,3.3458,6.69159,0
15074,0.5,0,0,3.28162,6.56324,0
15128,0.5,0,0,3.20096,6.40193,0
15182,0.5,0,0,3.143,6.286,0
15236,0.5,0,0,3.10964,6.21929,0
15290,0.5,0,0,-3.13808,-6.27615,0
15344,0.5,0,0,-3.24641,-6.49282,0
15398,0.5,0,0,-3.38339,-6.76678,0
15452,0.5,0,0,-3.39088,-6.78175,0
15506,0.5,0,0,-3.35288,-6.70577,0
15560,0.5,0,0,-3.28261,-6.56522,0
15614,0.5,0,0,-3.16275,-6.3255,0
15672,0.5,0,0,-3.18457,-6.36914,0
15726,0.5,0,0,3.19186,6.38371,0
15780,0.5,0,0,3.14591,6.29182,0
15834,0.5,0,0,3.24902,6.49804,0
15888,0.5,0,0,3.26282,6.52565,0
15942,0.5,0,0,3.25904,6.51809,0
15999,0.5,0,0,3.196,6.39201,0
16053,0.5,0,0,3.10823,6.21646,0
16107,0.5,0,0,3.03048,6.06097,0
16161,0.5,0,0,3.03624,6.07247,0
16215,0.5,0,0,-3.06242,-6.12484,0
16269,0.5,0,0,-3.32706,-6.65412,0
16323,0.5,0,0,-3.39059,-6.78117,0
16381,0.5,0,0,-3.42865,-6.85731,0
16434,0.5,0,0,-3.34503,-6.69006,0
16488,0.5,0,0,-3.27193,-6.54387,0
16542,0.5,0,0,-3.18328,-6.36656,0
16596,0.5,0,0,-3.11432,-6.22864,0
16650,0.5,0,0,3.11442,6.22885,0
16704,0.5,0,0,3.16474,6.32948,0
16758,0.5,0,0,3.2611,6.5222,0
16812,0.5,0,0,3.26637,6.53274,0
16866,0.5,0,0,3.26795,6.53589,0
16920,0.5,0,0,3.21861,6.43721,0
16974,0.5,0,0,3.14113,6.28227,0
17031,0.5,0,0,3.12445,6.24891,0
17089,0.5,0,0,-3.1547,-6.3094,0
17142,0.5,0,0,-3.20853,-6.41706,0
17196,0.5,0,0,-3.28558,-6.57115,0
17250,0.5,0,0,-3.29067,-6.58134,0
17304,0.5,0,0,-3.25832,-6.51663,0
17358,0.5,0,0,-3.18808,-6.37617,0
17412,0.5,0,0,-3.10119,-6.20239,0
17466,0.5,0,0,-3.17346,-6.34692,0
17520,0.5,0,0,3.18035,6.3607,0
17574,0.5,0,0,3.27907,6.55815,0
17628,0.5,0,0,3.32566,6.65132,0
17682,0.5,0,0,3.32732,6.65464,0
17736,0.5,0,0,3.32894,6.65788,0